,P1,0.235624076079008,,,,P2,0.235153298860994,,,,P3,0.235153298860994,,,,P4,0.235222183755078,,,,P5,0.029423571221963,,,,P6,0.029423571221963,,,,VOA,
sensor conf.,δ,confidence of g,δ*,advantage,confidence of g*,δ,confidence of g,δ*,advantage,confidence of g*,δ,confidence of g,δ*,advantage,confidence of g*,δ,confidence of g,δ*,advantage,confidence of g*,δ,confidence of g,δ*,advantage,confidence of g*,δ,confidence of g,δ*,advantage,confidence of g*,,
Structure Term Similarity: x0,0,0.23479419669573,0,0.115510132399855,0.23479419669573,0.46667,0.266642351131651,0,0.158339341548196,0.123007895190169,0,0.299620856623397,0,0.185310544149491,0.299620856623397,0,0.247505262837349,0,0.122641687644798,-0.022175200313209,1,0.052302930871526,1,0.058152873196978,0.213282008282026,1,0.050907941890563,1,0.048339508728109,0.211887019301063,0.168586132423386,0.140008804270881
Structure Term Similarity: x1,0,0.138580243146137,0,0.019296178850263,0.138580243146137,0.46667,0.137475505657912,0,0.029172496074457,-0.031633975292218,0,0.131591668071558,0,0.017281355597652,0.131591668071558,0,0.174739384729575,0,0.049875809537024,-0.063601009508618,1,-0.047790317165139,1,-0.041940374839687,0.113188760245361,1,-0.06897365515838,0,-0.071542088320834,0.051785882734814,0.168586132423386,0.023863258277548
Structure Term Similarity: x2,0,0.16351730313482,0,0.044233238838945,0.16351730313482,0.46667,0.110745451004786,0,0.002442441421331,-0.004518566831583,0,0.15329381861998,0,0.038983506146075,0.15329381861998,0.26667,0.129789446134515,0,0.004925870941963,0.04291424410585,1,0.008956354433353,0,0.014806296758805,-0.010880241108522,1,0.01446849977369,0,0.011900066611236,0.013756333088958,0.231312832165353,0.022108334966889
Structure Term Similarity: x3,0,0.188807685603268,0,0.069523621307393,0.188807685603268,0.46667,0.171222511326358,0,0.062919501742902,0.014767656109641,0,0.187670756873559,0,0.073360444399654,0.187670756873559,0.26667,0.166095833262961,0,0.04123225807041,-0.034215628616541,1,-0.02312620583022,1,-0.017276263504768,0.137852871580281,1,0.027306378057809,1,0.024737944895355,0.18828545546831,0.231312832165353,0.058346409038548
Structure Term Similarity: x4,0,-0.009995042804706,0,-0.12927910710058,-0.009995042804706,0.46667,-0.036267761619976,1,-0.144570771203431,0.124711315790525,0,-0.086315225345062,-0.2,-0.200625537818967,-0.132814248659019,0.26667,0.031051524190907,0,-0.093812051001644,-0.099930552558534,1,-0.025442416262231,0,-0.019592473936779,0.108333889505971,1,-0.008298565588957,0,-0.010866998751411,0.090671639035587,0.231312832165353,-0.134598222951323
Structure Term Similarity: x5,0,0.073000229715438,0,0,0.073000229715438,0.46667,0.071193774527606,0,0,-0.036690109382101,0,0.055675025263639,0,0,0.055675025263639,0,0.073816040460322,0,0,0.018627120914145,1,-0.035516372895491,0,0,0.032705942636093,1,0.085077008168488,0,0,0.006621854675969,0.168586132423386,0
IoU Similarity: x0,0,0.048568326342795,0,0.027924831879814,0.048568326342795,0,0.048376941234402,0,0.036381267237857,-0.002809547796809,0,0.053214645604619,0,0.038651564164601,0.053214645604619,0,0.04643690637267,0,0.03097907605736,0.01071967378738,0,-0.003640775606546,0,0.00495338502657,0.007498660615218,0,-0.012755770877254,0,0.000706427652259,0.011114202165841,0,0.031677478360897
IoU Similarity: x1,0,0.028424927185571,0,0.00778143272259,0.028424927185571,0,0.029723980705929,0,0.017728306709384,-0.016095251768584,0,0.022704220825622,0,0.008141139385604,0.022704220825622,0,0.025292842094325,0,0.009835011779015,0.005174673312483,0,-0.016191631446908,0,-0.007597470813792,0.01255307278649,0,-0.019162540560798,0,-0.005700342031285,0.01232339594457,0,0.009838922289347
IoU Similarity: x2,0,0.03522545408723,0,0.014581959624249,0.03522545408723,0,0.008883657408638,0,-0.003112016587907,-0.00819157405997,0,0.023073052479361,0,0.008509971039343,0.023073052479361,0,0.022900181693661,0,0.00744235137835,0.006701042885687,0,0.003542131300834,0,0.012136291933951,-0.002032119180946,0,-0.006178662731232,0,0.007283535798281,0.000392837636393,0,0.007027214388127
