,P1,,,,,,,,,,,,,,,,,P2,,,,,,,,,,,,,,,,,P3,,,,,,,,,,,,,,,,,P4,,,,,,,,,,,,,,,,,P5,,,,,,,,,,,,,,,,,P6,,,,,,,,,,,,,,,,,VOA
sensor conf.,init_x_star,init_score,init_exp_score,actual_x_star,actual_score,actual_exp_score,pred_x_star,pred_grasp_score,pred_exp_score,full_info_g,full_info_score,pose_prev_belief,pose_pred_belief,pose_actual_belief,init_b,pred_b,act_b,init_x_star,init_score,init_exp_score,actual_x_star,actual_score,actual_exp_score,pred_x_star,pred_grasp_score,pred_exp_score,full_info_g,full_info_score,pose_prev_belief,pose_pred_belief,pose_actual_belief,init_b,pred_b,act_b,init_x_star,init_score,init_exp_score,actual_x_star,actual_score,actual_exp_score,pred_x_star,pred_grasp_score,pred_exp_score,full_info_g,full_info_score,pose_prev_belief,pose_pred_belief,pose_actual_belief,init_b,pred_b,act_b,init_x_star,init_score,init_exp_score,actual_x_star,actual_score,actual_exp_score,pred_x_star,pred_grasp_score,pred_exp_score,full_info_g,full_info_score,pose_prev_belief,pose_pred_belief,pose_actual_belief,init_b,pred_b,act_b,init_x_star,init_score,init_exp_score,actual_x_star,actual_score,actual_exp_score,pred_x_star,pred_grasp_score,pred_exp_score,full_info_g,full_info_score,pose_prev_belief,pose_pred_belief,pose_actual_belief,init_b,pred_b,act_b,init_x_star,init_score,init_exp_score,actual_x_star,actual_score,actual_exp_score,pred_x_star,pred_grasp_score,pred_exp_score,full_info_g,full_info_score,pose_prev_belief,pose_pred_belief,pose_actual_belief,init_b,pred_b,act_b
Structure Term Similarity: x0,G1,0.86667,0.5648126641384833,G1,0.86667,0.7996068608342137,G1,0.86667,0.8238453892883407,G1,0.86667,0.23562407607900782,0.665058267930203,0.2583038092318439,[0.23562408 0.2351533  0.2351533  0.23522218 0.02942357 0.02942357],[0.66505827 0.0263379  0.19029899 0.10717633 0.00429619 0.00683232],[0.25830381 0.03681536 0.46401538 0.20949004 0.01292501 0.0184504 ],G1,0.0,0.5648126641384833,G1,0.0,0.8314550152701347,G4,0.46667,0.4769973146617989,G4,0.46667,0.23515329886099365,0.6584541841586147,0.02962027894439205,[0.23562408 0.2351533  0.2351533  0.23522218 0.02942357 0.02942357],[0.04845844 0.65845418 0.16751529 0.09955951 0.01215262 0.01385996],[0.23931414 0.02962028 0.53981036 0.15794776 0.01380479 0.01950268],G1,1.0,0.5648126641384833,G1,1.0,0.8644335207618798,G1,1.0,0.8386240789111911,G1,1.0,0.23515329886099365,0.6297572806888924,0.655445883592139,[0.23562408 0.2351533  0.2351533  0.23522218 0.02942357 0.02942357],[0.20441393 0.09780029 0.62975728 0.05945171 0.00374567 0.00483113],[0.16521613 0.02966797 0.65544588 0.12337534 0.01174393 0.01455074],G1,0.53333,0.5648126641384833,G1,0.53333,0.8123179269758327,G1,0.53333,0.5784097082192681,G3,0.8,0.2352221837550784,0.6580236652940645,0.2399358177127264,[0.23562408 0.2351533  0.2351533  0.23522218 0.02942357 0.02942357],[0.16446379 0.08303588 0.08493012 0.65802367 0.00434579 0.00520076],[0.21272677 0.02718797 0.49998905 0.23993582 0.0091047  0.01105569],G1,0.0,0.5648126641384833,G4,1.0,0.6171155950100093,G4,1.0,0.6737699649010379,G4,1.0,0.02942357122196327,0.37689833720407745,0.20318518796977209,[0.23562408 0.2351533  0.2351533  0.23522218 0.02942357 0.02942357],[0.13361935 0.20543168 0.10845281 0.08808112 0.37689834 0.08751671],[0.18901598 0.07174546 0.28212849 0.13698191 0.20318519 0.11694296],G1,0.0,0.5648126641384833,G4,1.0,0.6157206060290463,G4,1.0,0.6016745765831537,G4,1.0,0.02942357122196327,0.2750287395213612,0.09844163295386679,[0.23562408 0.2351533  0.2351533  0.23522218 0.02942357 0.02942357],[0.19760764 0.2178758  0.13007986 0.09802363 0.08138432 0.27502874],[0.20243703 0.11254619 0.27396434 0.10751264 0.20509816 0.09844163],0.16858613242338644
Structure Term Similarity: x1,G1,0.86667,0.5648126641384833,G1,0.86667,0.7033929072846208,G1,0.86667,0.810290035948265,G1,0.86667,0.23562407607900782,0.6576713259944963,0.2229135593836031,[0.23562408 0.2351533  0.2351533  0.23522218 0.02942357 0.02942357],[0.65767133 0.04656324 0.18670161 0.10050892 0.00362221 0.0049327 ],[0.22291356 0.10660145 0.38475797 0.23520604 0.02255401 0.02796696],G1,0.0,0.5648126641384833,G1,0.0,0.7022881697963957,G4,0.46667,0.44799135262311107,G4,0.46667,0.23515329886099365,0.6126656490677795,0.15719956501576862,[0.23562408 0.2351533  0.2351533  0.23522218 0.02942357 0.02942357],[0.07594857 0.61266565 0.16668046 0.13116073 0.00628284 0.00726175],[0.43821676 0.15719957 0.24555135 0.14427747 0.00716727 0.00758759],G1,1.0,0.5648126641384833,G1,1.0,0.696404332210041,G1,1.0,0.8174834158362358,G1,1.0,0.23515329886099365,0.6011729799052891,0.3683029865000893,[0.23562408 0.2351533  0.2351533  0.23522218 0.02942357 0.02942357],[0.19408162 0.10622936 0.60117298 0.09019879 0.00387293 0.00444432],[0.27841757 0.15183903 0.36830299 0.16276076 0.01891713 0.01976253],G1,0.53333,0.5648126641384833,G1,0.53333,0.7395520488680583,G1,0.53333,0.5719584683567828,G3,0.8,0.2352221837550784,0.6083303795539748,0.17698068667591318,[0.23562408 0.2351533  0.2351533  0.23522218 0.02942357 0.02942357],[0.14307658 0.1144699  0.12351744 0.60833038 0.00480792 0.00579777],[0.33807483 0.0890882  0.35216362 0.17698069 0.01965629 0.02403637],G1,0.0,0.5648126641384833,G4,1.0,0.5170223469733444,G4,1.0,0.6726210629944727,G4,1.0,0.02942357122196327,0.3481874825302136,0.1463108565836539,[0.23562408 0.2351533  0.2351533  0.23522218 0.02942357 0.02942357],[0.13067432 0.13896191 0.13440641 0.12184564 0.34818748 0.12592424],[0.24695396 0.18425788 0.18406752 0.15033072 0.14631086 0.08807906],G1,0.0,0.5648126641384833,G1,0.0,0.4958390089801037,G4,1.0,0.6061320465931954,G4,1.0,0.02942357122196327,0.25685581885182374,0.05647428160184331,[0.23562408 0.2351533  0.2351533  0.23522218 0.02942357 0.02942357],[0.17271925 0.15589097 0.14970111 0.142611   0.12222185 0.25685582],[0.29323151 0.28249214 0.17555946 0.1240219  0.06822071 0.05647428],0.16858613242338644
Structure Term Similarity: x2,G1,0.86667,0.5648126641384833,G1,0.86667,0.7283299672733029,G1,0.86667,0.7632164009260141,G1,0.86667,0.23562407607900782,0.6422587138265546,0.2541234900542968,[0.23562408 0.2351533  0.2351533  0.23522218 0.02942357 0.02942357],[0.64225871 0.09427457 0.16050077 0.08641792 0.0064325  0.01011552],[0.25412349 0.09546308 0.39669341 0.20886758 0.01771229 0.02714015],G1,0.0,0.5648126641384833,G1,0.0,0.6755581151432694,G4,0.46667,0.4700205496600488,G4,0.46667,0.23515329886099365,0.6113356510296895,0.18263077841363173,[0.23562408 0.2351533  0.2351533  0.23522218 0.02942357 0.02942357],[0.13129077 0.61133565 0.16754822 0.06539354 0.01044575 0.01398606],[0.40567748 0.18263078 0.25594227 0.12755207 0.01222001 0.0159774 ],G1,1.0,0.5648126641384833,G1,1.0,0.7181064827584637,G1,1.0,0.8092244693320042,G1,1.0,0.23515329886099365,0.6303760930871711,0.3960327535183018,[0.23562408 0.2351533  0.2351533  0.23522218 0.02942357 0.02942357],[0.17011807 0.12751859 0.63037609 0.05889815 0.00475438 0.00833471],[0.26913073 0.12984383 0.39603275 0.16655016 0.0155404  0.02290212],G1,0.53333,0.5648126641384833,G1,0.53333,0.6946021102729981,G3,0.8,0.5900879831019243,G3,0.8,0.2352221837550784,0.6899733975479935,0.32952040110712055,[0.23562408 0.2351533  0.2351533  0.23522218 0.02942357 0.02942357],[0.13277041 0.07214275 0.08537403 0.6899734  0.00724482 0.01249459],[0.25818343 0.08145471 0.29509916 0.3295204  0.01368756 0.02205474],G1,0.0,0.5648126641384833,G1,0.0,0.5737690185718367,G4,1.0,0.5945165309279467,G4,1.0,0.02942357122196327,0.27317489917054083,0.05641330969942174,[0.23562408 0.2351533  0.2351533  0.23522218 0.02942357 0.02942357],[0.17672446 0.20607095 0.12323608 0.12955287 0.2731749  0.09124074],[0.17566425 0.10213687 0.22586334 0.36686993 0.05641331 0.0730523 ],G1,0.0,0.5648126641384833,G1,0.0,0.579281163912173,G4,1.0,0.4999404721462014,G4,1.0,0.02942357122196327,0.14743681856201082,0.06301018314314008,[0.23562408 0.2351533  0.2351533  0.23522218 0.02942357 0.02942357],[0.21846825 0.21689811 0.16983117 0.17564042 0.07172522 0.14743682],[0.25380522 0.13676518 0.21927989 0.26256895 0.06457057 0.06301018],0.2313128321653532
Structure Term Similarity: x3,G1,0.86667,0.5648126641384833,G1,0.86667,0.7536203497417512,G1,0.86667,0.787753478782478,G1,0.86667,0.23562407607900782,0.6693829727741775,0.304073876114568,[0.23562408 0.2351533  0.2351533  0.23522218 0.02942357 0.02942357],[0.66938297 0.07064788 0.16307645 0.08351843 0.0050844  0.00828986],[0.30407388 0.07888005 0.38605386 0.19506644 0.0138065  0.02211927],G1,0.0,0.5648126641384833,G1,0.0,0.736035175464841,G4,0.46667,0.4680004292828713,G4,0.46667,0.23515329886099365,0.6399663654223551,0.14390426580095442,[0.23562408 0.2351533  0.2351533  0.23522218 0.02942357 0.02942357],[0.10619787 0.63996637 0.15934886 0.07385824 0.00864229 0.01198638],[0.4464666  0.14390427 0.30273341 0.08693033 0.00768021 0.01228518],G1,1.0,0.5648126641384833,G1,1.0,0.7524834210120426,G1,1.0,0.8263414906313449,G1,1.0,0.23515329886099365,0.6451441720988175,0.33560433464557704,[0.23562408 0.2351533  0.2351533  0.23522218 0.02942357 0.02942357],[0.17311299 0.11253062 0.64514417 0.05843564 0.00410552 0.00667105],[0.39049902 0.09564761 0.33560433 0.14708585 0.01190115 0.01926203],G1,0.53333,0.5648126641384833,G1,0.53333,0.7309084974014448,G3,0.8,0.5855232788693779,G3,0.8,0.2352221837550784,0.6864648181777405,0.23965298941383092,[0.23562408 0.2351533  0.2351533  0.23522218 0.02942357 0.02942357],[0.13212869 0.07773151 0.08708718 0.68646482 0.00627972 0.01030808],[0.38331597 0.07113106 0.27088592 0.23965299 0.01353663 0.02147743],G1,0.0,0.5648126641384833,G4,1.0,0.5416864583082635,G4,1.0,0.6374905060842634,G4,1.0,0.02942357122196327,0.329091108318167,0.17446195791158045,[0.23562408 0.2351533  0.2351533  0.23522218 0.02942357 0.02942357],[0.15519007 0.17548355 0.11804675 0.12115745 0.32909111 0.10103108],[0.19755047 0.09999949 0.16960763 0.21301891 0.17446196 0.14536154],G1,0.0,0.5648126641384833,G4,1.0,0.5921190421962925,G4,1.0,0.5239937018098543,G4,1.0,0.02942357122196327,0.1740381070735031,0.15033708166320858,[0.23562408 0.2351533  0.2351533  0.23522218 0.02942357 0.02942357],[0.21150153 0.20344062 0.16033275 0.16623754 0.08444946 0.17403811],[0.22152188 0.13071797 0.14053727 0.13284018 0.22404561 0.15033708],0.2313128321653532
Structure Term Similarity: x4,G1,0.86667,0.5648126641384833,G1,0.86667,0.5548176213337778,G1,0.86667,0.8063262488172842,G1,0.86667,0.23562407607900782,0.6551193842505416,0.35807026905309414,[0.23562408 0.2351533  0.2351533  0.23522218 0.02942357 0.02942357],[0.65511938 0.03574008 0.18295804 0.10424295 0.00732706 0.01461248],[0.35807027 0.33732294 0.20420021 0.07554169 0.01278786 0.01207703],G1,0.0,0.5648126641384833,G4,0.46667,0.5285449025185077,G4,0.46667,0.5092474809803391,G4,0.46667,0.23515329886099365,0.600380178587052,0.3768998945611139,[0.23562408 0.2351533  0.2351533  0.23522218 0.02942357 0.02942357],[0.04942354 0.60038018 0.20940876 0.08913117 0.02361965 0.0280367 ],[0.17173759 0.37689989 0.30192549 0.07266791 0.04295546 0.03381366],G1,1.0,0.5648126641384833,G4,0.8,0.4784974387934216,G1,1.0,0.7660085289485825,G1,1.0,0.23515329886099365,0.5594260868126867,0.21927267745083523,[0.23562408 0.2351533  0.2351533  0.23522218 0.02942357 0.02942357],[0.18416496 0.15243057 0.55942609 0.08807342 0.00703206 0.00887291],[0.19897625 0.45552181 0.21927268 0.07552358 0.02948506 0.02122063],G1,0.53333,0.5648126641384833,G1,0.53333,0.5958641883293906,G3,0.8,0.6099907671764883,G3,0.8,0.2352221837550784,0.7261708603453609,0.10574747436268217,[0.23562408 0.2351533  0.2351533  0.23522218 0.02942357 0.02942357],[0.10759578 0.0665273  0.09031043 0.72617086 0.00395148 0.00544414],[0.29047753 0.26580101 0.28771773 0.10574747 0.02494154 0.02531472],G1,0.0,0.5648126641384833,G1,0.0,0.5393702478762525,G4,1.0,0.5960607163944461,G4,1.0,0.02942357122196327,0.27326958224271364,0.11127938740486455,[0.23562408 0.2351533  0.2351533  0.23522218 0.02942357 0.02942357],[0.14654375 0.34161151 0.13972181 0.07656825 0.27326958 0.02228509],[0.26361907 0.21256121 0.25036733 0.11349853 0.11127939 0.04867447],G1,0.0,0.5648126641384833,G1,0.0,0.5565140985495266,G4,1.0,0.5079104554464441,G4,1.0,0.02942357122196327,0.165584427020704,0.038046530610681056,[0.23562408 0.2351533  0.2351533  0.23522218 0.02942357 0.02942357],[0.24341753 0.33773531 0.14683804 0.08786354 0.01856115 0.16558443],[0.27893583 0.19073787 0.24452084 0.13171571 0.11604322 0.03804653],0.2313128321653532
Structure Term Similarity: x5,G1,0.86667,0.5648126641384833,G1,0.86667,0.6378128938539216,G1,0.86667,0.8072966806025488,G1,0.86667,0.23562407607900782,0.6140444641216511,0.23783568025678642,[0.23562408 0.2351533  0.2351533  0.23522218 0.02942357 0.02942357],[0.61404446 0.0375385  0.19979517 0.14124013 0.00325688 0.00412487],[0.23783568 0.16396454 0.26976062 0.30361545 0.01221938 0.01260433],G1,0.0,0.5648126641384833,G1,0.0,0.6360064386660892,G4,0.46667,0.42806978632358517,G4,0.46667,0.23515329886099365,0.6165585037702301,0.15466093334730624,[0.23562408 0.2351533  0.2351533  0.23522218 0.02942357 0.02942357],[0.07136872 0.6165585  0.14335634 0.15733483 0.00480213 0.00657949],[0.21789257 0.15466093 0.27604784 0.32084758 0.01422782 0.01632325],G1,1.0,0.5648126641384833,G1,1.0,0.6204876894021225,G1,1.0,0.823203202270416,G1,1.0,0.23515329886099365,0.5682411857760584,0.2765738197913713,[0.23562408 0.2351533  0.2351533  0.23522218 0.02942357 0.02942357],[0.21714723 0.08195118 0.56824119 0.12518895 0.00344916 0.00402229],[0.21198307 0.18359508 0.27657382 0.30036657 0.01297038 0.01451108],G1,0.53333,0.5648126641384833,G1,0.53333,0.6386287045988048,G1,0.53333,0.6048918558096286,G3,0.8,0.2352221837550784,0.5373914491187594,0.28808879612266336,[0.23562408 0.2351533  0.2351533  0.23522218 0.02942357 0.02942357],[0.1892078  0.11085997 0.15430415 0.53739145 0.00380188 0.00443474],[0.21697549 0.16520292 0.29693616 0.2880888  0.01548466 0.01731198],G1,0.0,0.5648126641384833,G1,0.0,0.5292962912429922,G4,1.0,0.6920381082437185,G4,1.0,0.02942357122196327,0.3654565297799599,0.05395108116274598,[0.23562408 0.2351533  0.2351533  0.23522218 0.02942357 0.02942357],[0.13507713 0.10475699 0.13162097 0.11770595 0.36545653 0.14538243],[0.21683812 0.22776369 0.22182202 0.22415236 0.05395108 0.05547273],G1,0.0,0.5648126641384833,G1,0.0,0.6498896723069708,G4,1.0,0.6367727644182228,G4,1.0,0.02942357122196327,0.28500735818356177,0.022959125994023357,[0.23562408 0.2351533  0.2351533  0.23522218 0.02942357 0.02942357],[0.16292201 0.1366882  0.14617511 0.13075469 0.13845264 0.28500736],[0.24102508 0.15405888 0.30586101 0.25338807 0.02270783 0.02295913],0.16858613242338644
IoU Similarity: x0,G1,0.86667,0.5648126641384833,G1,0.86667,0.6133809904812779,G1,0.86667,0.6112588186856993,G1,0.86667,0.23562407607900782,0.3194498416641736,0.25690198766044064,[0.23562408 0.2351533  0.2351533  0.23522218 0.02942357 0.02942357],[0.31944984 0.20475613 0.21874623 0.21685447 0.01996241 0.02023092],[0.25690199 0.19136015 0.25842648 0.24807393 0.02257408 0.02266337],G1,0.0,0.5648126641384833,G1,0.0,0.6131896053728851,G1,0.0,0.49009461152765965,G4,0.46667,0.23515329886099365,0.34233177356638916,0.19636298606703945,[0.23562408 0.2351533  0.2351533  0.23522218 0.02942357 0.02942357],[0.22030209 0.34233177 0.19411982 0.1969617  0.02323876 0.02304586],[0.24072679 0.19636299 0.27276493 0.24711527 0.02152485 0.02150517],G1,1.0,0.5648126641384833,G1,1.0,0.6180273097431024,G1,1.0,0.6382348568870899,G1,1.0,0.23515329886099365,0.31966757383203637,0.2827206920755712,[0.23562408 0.2351533  0.2351533  0.23522218 0.02942357 0.02942357],[0.21977266 0.18126805 0.31966757 0.24018322 0.01949419 0.01961432],[0.23565166 0.19339448 0.28272069 0.24576602 0.02117074 0.0212964 ],G1,0.53333,0.5648126641384833,G1,0.53333,0.6112495705111537,G1,0.53333,0.5997027117982708,G3,0.8,0.2352221837550784,0.3199125741933104,0.2704907526257742,[0.23562408 0.2351533  0.2351533  0.23522218 0.02942357 0.02942357],[0.21791132 0.18395495 0.24022653 0.31991257 0.01900102 0.0189936 ],[0.23125699 0.19107846 0.26656524 0.27049075 0.0202658  0.02034275],G1,0.0,0.5648126641384833,G1,0.0,0.5611718885319373,G1,0.0,0.529320022497909,G4,1.0,0.02942357122196327,0.056354954360207064,0.035872153508472095,[0.23562408 0.2351533  0.2351533  0.23522218 0.02942357 0.02942357],[0.22583486 0.24434827 0.21950785 0.2139161  0.05635495 0.04003796],[0.23534755 0.23382206 0.23526692 0.22863201 0.03587215 0.03105931],G1,0.0,0.5648126641384833,G1,0.0,0.5520568932612293,G1,0.0,0.5320485306836873,G4,1.0,0.02942357122196327,0.05622683747842064,0.03352141876081237,[0.23562408 0.2351533  0.2351533  0.23522218 0.02942357 0.02942357],[0.2283522  0.24176908 0.22035844 0.2133465  0.03994694 0.05622684],[0.23382916 0.24192948 0.23055139 0.22285035 0.03731819 0.03352142],0.0
IoU Similarity: x1,G1,0.86667,0.5648126641384833,G1,0.86667,0.593237591324054,G1,0.86667,0.6075905938918765,G1,0.86667,0.23562407607900782,0.31528129439058505,0.2387245216726844,[0.23562408 0.2351533  0.2351533  0.23522218 0.02942357 0.02942357],[0.31528129 0.21146259 0.2194927  0.21535082 0.01918942 0.01922318],[0.23872452 0.20597712 0.2486711  0.25813494 0.02419976 0.02429256],G1,0.0,0.5648126641384833,G1,0.0,0.5945366448444125,G1,0.0,0.49860700812062597,G4,0.46667,0.23515329886099365,0.3360608911068765,0.21145789556819916,[0.23562408 0.2351533  0.2351533  0.23522218 0.02942357 0.02942357],[0.22630309 0.33606089 0.19634852 0.19899197 0.0210978  0.02119772],[0.25599811 0.2114579  0.24123754 0.24643883 0.02239092 0.02247671],G1,1.0,0.5648126641384833,G1,1.0,0.5875168849641053,G1,1.0,0.6367973651891374,G1,1.0,0.23515329886099365,0.31760074804938015,0.23838628075669915,[0.23562408 0.2351533  0.2351533  0.23522218 0.02942357 0.02942357],[0.22199366 0.18556291 0.31760075 0.23775405 0.01855876 0.01852987],[0.24518022 0.21092156 0.23838628 0.25620209 0.02461636 0.02469348],G1,0.53333,0.5648126641384833,G1,0.53333,0.5901055062328086,G1,0.53333,0.5967551326428002,G3,0.8,0.2352221837550784,0.31818734223620093,0.2558812576213914,[0.23562408 0.2351533  0.2351533  0.23522218 0.02942357 0.02942357],[0.21807907 0.18829816 0.23805369 0.31818734 0.01873912 0.01864261],[0.24530526 0.20889313 0.24103764 0.25588126 0.02439743 0.02448528],G1,0.0,0.5648126641384833,G1,0.0,0.5486210326915751,G1,0.0,0.5308869453791846,G4,1.0,0.02942357122196327,0.05819589397483743,0.04137821180962103,[0.23562408 0.2351533  0.2351533  0.23522218 0.02942357 0.02942357],[0.22714572 0.23335816 0.21720568 0.21904051 0.05819589 0.04505403],[0.23273397 0.23326488 0.22534489 0.22795003 0.04137821 0.03932802],G1,0.0,0.5648126641384833,G1,0.0,0.5456501235776856,G1,0.0,0.5302730130083047,G4,1.0,0.02942357122196327,0.05819365077074773,0.040830227742124,[0.23562408 0.2351533  0.2351533  0.23522218 0.02942357 0.02942357],[0.22753654 0.23445431 0.21685915 0.21790406 0.04505229 0.05819365],[0.2355103  0.24150634 0.22313878 0.22200444 0.0370099  0.04083023],0.0
IoU Similarity: x2,G1,0.86667,0.5648126641384833,G1,0.86667,0.6000381182257128,G1,0.86667,0.5938485358790692,G1,0.86667,0.23562407607900782,0.32148922051331547,0.2372769939508967,[0.23562408 0.2351533  0.2351533  0.23522218 0.02942357 0.02942357],[0.32148922 0.22755854 0.20794515 0.20114812 0.02046676 0.02139221],[0.23727699 0.20692201 0.26214286 0.24797856 0.02272005 0.02295953],G1,0.0,0.5648126641384833,G1,0.0,0.5736963215471209,G1,0.0,0.5058874067137065,G4,0.46667,0.23515329886099365,0.32831248247506367,0.24202842816688444,[0.23562408 0.2351533  0.2351533  0.23522218 0.02942357 0.02942357],[0.23331964 0.32831248 0.20098047 0.19255583 0.02173919 0.02309239],[0.25179869 0.24202843 0.23442959 0.22695209 0.02213273 0.02265846],G1,1.0,0.5648126641384833,G1,1.0,0.5878857166178445,G1,1.0,0.6283828494184001,G1,1.0,0.23515329886099365,0.3256560416246341,0.2570333675306887,[0.23562408 0.2351533  0.2351533  0.23522218 0.02942357 0.02942357],[0.21148457 0.1993543  0.32565604 0.22395041 0.01955791 0.01999676],[0.23949063 0.2283863  0.25703337 0.23117583 0.02188181 0.02203206],G1,0.53333,0.5648126641384833,G1,0.53333,0.5877128458321441,G1,0.53333,0.5840602696518695,G3,0.8,0.2352221837550784,0.33096361179990097,0.26385921236755766,[0.23562408 0.2351533  0.2351533  0.23522218 0.02942357 0.02942357],[0.20778423 0.19399705 0.22746709 0.33096361 0.01983734 0.01995068],[0.24021098 0.2143394  0.23880516 0.26385921 0.02132819 0.02145706],G1,0.0,0.5648126641384833,G1,0.0,0.5683547954393176,G1,0.0,0.5308983027286039,G4,1.0,0.02942357122196327,0.056375555723106645,0.03185889711289357,[0.23562408 0.2351533  0.2351533  0.23522218 0.02942357 0.02942357],[0.23015586 0.23842846 0.21625474 0.21595332 0.05637556 0.04283206],[0.22455182 0.22313834 0.23953313 0.25164408 0.0318589  0.02927373],G1,0.0,0.5648126641384833,G1,0.0,0.5586340014072512,G1,0.0,0.5288566122321997,G4,1.0,0.02942357122196327,0.05466271476382281,0.031326575900721215,[0.23562408 0.2351533  0.2351533  0.23522218 0.02942357 0.02942357],[0.23325397 0.24557493 0.21438929 0.21058839 0.04153071 0.05466271],[0.23136314 0.23385276 0.23015602 0.23993117 0.03337034 0.03132658],0.0
