,P1,0.07706513787319602,,,,P2,0.30795244502020314,,,,P3,0.30795244502020314,,,,P4,0.30702997208639776,,,,VOA
sensor conf.,δ,confidence of g,δ*,advantage,confidence of g*,δ,confidence of g,δ*,advantage,confidence of g*,δ,confidence of g,δ*,advantage,confidence of g*,δ,confidence of g,δ*,advantage,confidence of g*
Structure Term Similarity: x0,0.0,0.10730168698498066,1.0,0.05733203005276183,0.5983569939686992,0.93,0.14844482134545667,0.0,0.049095990901827175,-0.15047741177013638,0.0,0.24831979635788004,0.0,0.1296558193393032,0.24831979635788004,0.0,0.26416605266817594,0.0,0.11670759708127632,0.26416605266817594,0.28639577386878895
Structure Term Similarity: x1,0.0,0.05356573831635714,0.0,0.0035960813841383055,0.12532558539296831,0.93,0.20759822226767044,1.0,0.10824939182404095,0.44308381053187845,0.0,0.16090488198962938,0.0,0.04224090497105254,0.16090488198962938,0.0,0.1352472606443279,0.0,-0.012211194942571724,0.1352472606443279,0.28639577386878895
Structure Term Similarity: x2,0.0,0.034515489428744495,0.0,-0.015454167503474336,0.19564616659037043,0.93,0.1167561416295535,0.0,0.017407311185924007,-0.11639971216393075,0.0,0.15699400895860127,0.0,0.038330031940024434,0.15699400895860127,0.0,0.23297993944111006,0.0,0.08552148385421043,0.23297993944111006,0.28639577386878895
Structure Term Similarity: x3,0.0,0.012152290931598086,0.0,-0.037817366000620745,0.33636274067454613,0.93,0.16957945895103865,0.0,0.07023062850740916,-0.1739867617085024,0.0,0.2537910051428943,0.0,0.13512702812431748,0.2537910051428943,0.0,0.17399675840417372,0.0,0.026538302817274095,0.17399675840417372,0.28639577386878895
Structure Term Similarity: x4,0.0,0.09228273593163261,0.24528301886792453,0.04231307899941378,-0.01815829410460136,0.93,-0.046285661531942246,0.0,-0.14563449197557174,0.04194843527514064,0.0,-0.10802583033754398,-0.8,-0.22668980735612082,-0.1238981892145084,0.0,0.07836072236361014,-0.93,-0.06909773322328949,-0.29644631663367904,0.28639577386878895
Structure Term Similarity: x5,0.0,0.08642356562077724,0.0,0,0.014633785147749032,0.93,0.0488904696415855,0.0,0,-0.051749158107162296,0.0,0.10995531485986931,0.0,0,0.10995531485986931,0.0,0.1381389793857677,0.0,0,0.1381389793857677,0.28639577386878895
IoU Similarity: x0,0.0,-0.005989200948043005,0.0,-0.003093246920983894,0.04076697488961427,0.0,-0.003739815819748138,0.0,0.013135586170199238,0.002186843614541578,0.0,0.03497271867529328,0.0,-0.005468163072039366,0.03497271867529328,0.0,0.05881074090471716,0.0,0.019344906278430586,0.05881074090471716,0.0
IoU Similarity: x1,0.0,0.004580836554740397,0.0,0.007476790581799508,0.016039079678628165,0.0,-0.11498032674583747,0.0,-0.0981049247558901,0.12018878183549653,0.0,0.07608305150709893,0.0,0.035642169759766286,0.07608305150709893,0.0,0.029906133386273015,0.0,-0.009559701240013561,0.029906133386273015,0.0
IoU Similarity: x2,0.0,-0.0008154258873919185,0.0,0.0020805281396671926,0.03414819593022028,0.0,0.012072728542234179,0.0,0.028948130532181555,-0.01283221908344967,0.0,0.036861114783390825,0.0,-0.0035797669639418203,0.036861114783390825,0.0,0.09549632030811517,0.0,0.05603048568182859,0.09549632030811517,0.0
IoU Similarity: x3,0.0,-0.0014141081764901253,0.0,0.0014818458505689858,0.04763975130769817,0.0,-0.006800329966585972,0.0,0.010075072023361404,0.006695677333334982,0.0,0.09711717567489175,0.0,0.05667629392755911,0.09711717567489175,0.0,0.07216698433826596,0.0,0.032701149711979384,0.07216698433826596,0.0
IoU Similarity: x4,0.0,-0.013737825705170015,0.0,-0.010841871678110904,0.00805161855114607,0.0,0.012195332050253138,0.0,0.029070734040200514,-0.01622805976721725,0.0,-0.002388770156678932,0.0,-0.04282965190401158,-0.002388770156678932,0.0,-0.01958517117965186,0.0,-0.05905100580593844,-0.01958517117965186,0.0
IoU Similarity: x5,0.0,0.00374395116911197,0.0,0,0.0035796125420737013,0.0,0.018744482622696346,0.0,0,-0.019891495725858466,0.0,0.02805429360870737,0.0,0,0.02805429360870737,0.0,0.04233948000344001,0.0,0,0.04233948000344001,0.0
Contour Match Similarity: x0,0.0,-0.0004695933396345886,0.0,0.00027165360372444214,0.002671363870991525,0.93,-0.00012286911990833094,0.0,0.0007382071039463237,-0.0005281797696477519,0.0,-0.00217309052825454,0.0,-0.006524247999629955,-0.00217309052825454,0.0,-0.003924852302628179,0.0,-0.0029610750340738345,-0.003924852302628179,0.28639577386878895
Contour Match Similarity: x1,0.0,-0.0010564669491582857,0.0,-0.0003152200057992549,0.002192223989994427,0.93,-0.0058941797827112286,0.0,-0.005033103558856574,0.006155272224281028,0.0,0.0006456682546380765,0.0,-0.0037054892167373383,0.0006456682546380765,0.0,-0.0050650663757393355,0.0,-0.004101289107184991,-0.0050650663757393355,0.28639577386878895
Contour Match Similarity: x2,0.0,-0.0015449097278326107,0.0,-0.00080366278447358,-0.0003240647542290531,0.93,0.0005077708591125774,0.0,0.001368847082967232,-0.0020544043070108153,0.0,0.003852118167868235,0.0,-0.0004990393035071801,0.003852118167868235,0.0,-0.006702764536986594,0.0,-0.00573898726843225,-0.006702764536986594,0.28639577386878895
Contour Match Similarity: x3,0.0,-0.0008875942018664595,0.0,-0.0001463472585074288,0.0020031087136786474,0.93,0.000851349227477094,0.0,0.0017124254513317485,-0.0017363140858449033,0.0,0.02591795719303125,0.0,0.021566799721655833,0.02591795719303125,0.0,0.010402564423464433,0.0,0.011366341692018778,0.010402564423464433,0.28639577386878895
Contour Match Similarity: x4,0.0,-0.0004889174416622399,0.0,0.0002523295016967908,0.0012660099614398013,0.93,-0.00050852852709804,0.0,0.0003525476967566147,0.00026098835091586947,0.0,-0.002135708259030533,0.0,-0.006486865730405948,-0.002135708259030533,0.0,-0.0004925448194363913,0.0,0.00047123244911795314,-0.0004925448194363913,0.28639577386878895
Contour Match Similarity: x5,0.0,-0.002688832862529189,0.0,0,-0.0037153888146130853,0.93,-0.0003479860677031432,0.0,0,0.000664784495369164,0.0,0.0030993113618318358,0.0,0,0.0030993113618318358,0.0,0.003963265429198337,0.0,0,0.003963265429198337,0.28639577386878895
