,P1,0.24982815723483867,,,,P2,0.25007811034780064,,,,P3,0.43763669310865094,,,,P4,0.06245703930870971,,,,VOA
sensor conf.,δ,confidence of g,δ*,advantage,confidence of g*,δ,confidence of g,δ*,advantage,confidence of g*,δ,confidence of g,δ*,advantage,confidence of g*,δ,confidence of g,δ*,advantage,confidence of g*
Structure Term Similarity: x0,0.0,0.2016686016902164,0.0,0.0936146219522504,-0.2458705213744623,1.0,0.21307327133476428,0.0,0.13849532845016804,-0.2857300136494234,0.0,0.21761461705507312,0.0,0.12152892552141109,0.21761461705507312,0.0,0.20766162951580147,0.0,0,-0.008005591375012715,0.25007811034780064
Structure Term Similarity: x1,0.0,0.13676712276032565,0.0,0.028713143022359666,-0.18993596184005912,1.0,0.10011944400767969,0.0,0.025541501123083454,0.06065281237381803,0.0,0.11026381486218817,0.0,0.014178123328526138,0.11026381486218817,0.0,0.15782023995728478,0.0,0,-0.015254162132538662,0.25007811034780064
Structure Term Similarity: x2,0.0,0.1510730344946074,0.0,0.04301905475664142,-0.18139906814047757,1.0,0.08078208845587243,0.0,0.006204145571276187,0.05040464263488165,0.0,0.12963589954020183,0.0,0.033550208006539795,0.12963589954020183,0.0,0.13929021994214197,0.0,0,0.01770701315484051,0.25007811034780064
Structure Term Similarity: x3,0.0,0.1664324118184355,0.0,0.0583784320804695,-0.15458497886040595,1.0,0.12454162237730315,0.0,0.049963679492706914,0.01655352719363501,0.0,0.15625168898208874,0.0,0.06016599744842671,0.15625168898208874,0.0,0.16077463703509765,0.0,0,-0.0012911171311065159,0.25007811034780064
Structure Term Similarity: x4,0.0,-0.0076172923357890054,1.0,-0.115671272073755,0.14866902897593814,1.0,-0.07104876886804212,0.0,-0.14562671175263836,0.0008291103005501066,0.0,-0.03725187123757967,-0.9,-0.1333375627712417,-0.14959741447918762,0.0,0.016093584062365274,0.0,0,-0.02669089823928775,0.25007811034780064
Structure Term Similarity: x5,0.0,0.06434021089752517,0.0,0,-0.07725242497824036,1.0,0.06925006336706485,0.0,0,-0.10219086554870116,0.0,0.047009318446663895,0.0,0,0.047009318446663895,0.0,0.068838659095253,0.0,0,0.008022557844966853,0.25007811034780064
IoU Similarity: x0,0.0,0.04539818410865082,0.0,0.02895710728096181,-0.034581149388198174,1.0,0.04364837406751709,0.0,0.03757842530554537,-0.05253507560272419,0.0,0.048306354562066334,0.0,0.03859334485096101,0.048306354562066334,0.0,0.04265871768142959,0.0,0,0.005747837470893739,0.25007811034780064
IoU Similarity: x1,0.0,0.026859491150155068,0.0,0.010418414322466058,-0.029387814056797912,1.0,0.024137335558293227,0.0,0.018067386796321507,-0.008853500233418465,0.0,0.02061759888343362,0.0,0.0109045891723283,0.02061759888343362,0.0,0.02321821954386305,0.0,0,0.003898182172052747,0.25007811034780064
IoU Similarity: x2,0.0,0.03138861996980702,0.0,0.014947543142118009,-0.039929130599502705,1.0,-0.0008046769894507477,0.0,-0.0068746257514224664,0.013716990764511605,0.0,0.015156158344540538,0.0,0.005443148633435219,0.015156158344540538,0.0,0.016989018159179525,0.0,0,0.005463887682020531,0.25007811034780064
IoU Similarity: x3,0.0,0.027869536852883403,0.0,0.011428460025194393,-0.023383195906651666,1.0,-0.00549497441413016,0.0,-0.011564923176101879,0.03300316414211091,0.0,0.007580659396274059,0.0,-0.00213235031483126,0.007580659396274059,0.0,0.013726115549646423,0.0,0,0.0028163534948771884,0.25007811034780064
