,P1,,,,,,,,,,,,,,,,,P2,,,,,,,,,,,,,,,,,P3,,,,,,,,,,,,,,,,,VOA
sensor conf.,init_x_star,init_score,init_exp_score,actual_x_star,actual_score,actual_exp_score,pred_x_star,pred_grasp_score,pred_exp_score,full_info_g,full_info_score,pose_prev_belief,pose_pred_belief,pose_actual_belief,init_b,pred_b,act_b,init_x_star,init_score,init_exp_score,actual_x_star,actual_score,actual_exp_score,pred_x_star,pred_grasp_score,pred_exp_score,full_info_g,full_info_score,pose_prev_belief,pose_pred_belief,pose_actual_belief,init_b,pred_b,act_b,init_x_star,init_score,init_exp_score,actual_x_star,actual_score,actual_exp_score,pred_x_star,pred_grasp_score,pred_exp_score,full_info_g,full_info_score,pose_prev_belief,pose_pred_belief,pose_actual_belief,init_b,pred_b,act_b
Structure Term Similarity: x0,G1,0.8,0.8222123451311081,G1,0.8,0.8486999671488749,G1,0.8,0.790679802395034,G1,0.8,0.44469137172229606,0.899888899802904,0.45697474584815556,[0.44469137 0.4442469  0.11106173],[0.8998889  0.03567341 0.06443769],[0.45697475 0.52435006 0.01867519],G1,0.9,0.8222123451311081,G2,1.0,0.9641061965478074,G2,1.0,0.9117403121615992,G2,1.0,0.44424690262216304,0.8794127943806761,0.9336926517079317,[0.44469137 0.4442469  0.11106173],[0.06465504 0.87941279 0.05593217],[0.06082709 0.93369265 0.00548026],G1,0.6,0.8222123451311081,G1,0.6,0.6113152213332567,G1,0.6,0.752752482225714,G1,0.6,0.11106172565554079,0.342669684013824,0.9514139741955175,[0.44469137 0.4442469  0.11106173],[0.44446613 0.21286419 0.34266968],[0.03260586 0.01598016 0.95141397],0.04442469026221629
Structure Term Similarity: x1,G1,0.8,0.8222123451311081,G1,0.8,0.8159524743110369,G1,0.8,0.7937637581790857,G1,0.8,0.44469137172229606,0.875723676858022,0.6662536354436734,[0.44469137 0.4442469  0.11106173],[0.87572368 0.06206341 0.06221291],[0.66625364 0.27567249 0.05807387],G1,0.9,0.8222123451311081,G2,1.0,0.9274742429117634,G2,1.0,0.8909811998375224,G2,1.0,0.44424690262216304,0.8390284552695627,0.869349108040517,[0.44469137 0.4442469  0.11106173],[0.10390549 0.83902846 0.05706606],[0.11625027 0.86934911 0.01440062],G1,0.6,0.8222123451311081,G1,0.6,0.7690283765456414,G1,0.6,0.7568488651153448,G1,0.6,0.11106172565554079,0.3336807907124277,0.279629980877495,[0.44469137 0.4442469  0.11106173],[0.43046898 0.23585023 0.33368079],[0.47082629 0.24954373 0.27962998],0.04442469026221629
Structure Term Similarity: x2,G1,0.8,0.8222123451311081,G1,0.8,0.8025572764679976,G1,0.8,0.8018072018916623,G1,0.8,0.44469137172229606,0.8268081201801939,0.8409715351068123,[0.44469137 0.4442469  0.11106173],[0.82680812 0.12148526 0.05170662],[0.84097154 0.11454323 0.04448523],G1,0.9,0.8222123451311081,G2,1.0,0.9228832798295459,G1,0.9,0.8672582194820587,G2,1.0,0.44424690262216304,0.7793848554356585,0.8635466875784743,[0.44469137 0.4442469  0.11106173],[0.16721381 0.77938486 0.05340133],[0.11867318 0.86354669 0.01778013],G1,0.6,0.8222123451311081,G1,0.6,0.6793701656476598,G1,0.6,0.7587594627443953,G1,0.6,0.11106172565554079,0.34631432942926865,0.6219253542625784,[0.44469137 0.4442469  0.11106173],[0.37346238 0.28022329 0.34631433],[0.34052228 0.03755237 0.62192535],0.0
Structure Term Similarity: x3,G1,0.8,0.8222123451311081,G1,0.8,0.8042336376454378,G1,0.8,0.7986040365579726,G1,0.8,0.44469137172229606,0.8571816680729387,0.8364273226130459,[0.44469137 0.4442469  0.11106173],[0.85718167 0.09055901 0.05225932],[0.83642732 0.12316058 0.0404121 ],G1,0.9,0.8222123451311081,G2,1.0,0.9542935870581613,G2,1.0,0.881812404716335,G2,1.0,0.44424690262216304,0.8143150399909042,0.9169642934243778,[0.44469137 0.4442469  0.11106173],[0.13499473 0.81431504 0.05069023],[0.07465859 0.91696429 0.00837712],G1,0.6,0.8222123451311081,G1,0.6,0.668680060051732,G1,0.6,0.7529852610663293,G1,0.6,0.11106172565554079,0.3610154421700971,0.6788879346237816,[0.44469137 0.4442469  0.11106173],[0.38710106 0.2518835  0.36101544],[0.2765356  0.04457647 0.67888793],0.04442469026221629
Structure Term Similarity: x4,G1,0.8,0.8222123451311081,G1,0.8,0.8029242484734025,G1,0.8,0.7924262004925425,G1,0.8,0.44469137172229606,0.8892856337198976,0.9535487804614203,[0.44469137 0.4442469  0.11106173],[0.88928563 0.04856358 0.06215079],[0.95354878 0.04071497 0.00573624],G1,0.9,0.8222123451311081,G2,1.0,0.9647175168945343,G2,1.0,0.8902741106415029,G2,1.0,0.44424690262216304,0.8551126779271567,0.9346991225033208,[0.44469137 0.4442469  0.11106173],[0.07032287 0.85511268 0.07456446],[0.06003679 0.93469912 0.00526409],G1,0.6,0.8222123451311081,G1,0.6,0.7313065598788706,G1,0.6,0.7732750294573184,G1,0.6,0.11106172565554079,0.29365090336414895,0.46555588897407624,[0.44469137 0.4442469  0.11106173],[0.386297  0.3200521 0.2936509],[0.29026673 0.24417738 0.46555589],0.04442469026221629
Structure Term Similarity: x5,G1,0.8,0.8222123451311081,G1,0.8,0.8437889141351357,G1,0.8,0.791103226711443,G1,0.8,0.44469137172229606,0.8751818524251588,0.4101748986947093,[0.44469137 0.4442469  0.11106173],[0.87518185 0.05355619 0.07126196],[0.4101749  0.53917978 0.05064532],G1,0.9,0.8222123451311081,G1,0.9,0.8678033208607889,G2,1.0,0.9012183593077644,G2,1.0,0.44424690262216304,0.8519590809303125,0.7349302659516567,[0.44469137 0.4442469  0.11106173],[0.09851856 0.85195908 0.04952236],[0.23662121 0.73493027 0.02844853],G1,0.6,0.8222123451311081,G1,0.6,0.787984511239734,G1,0.6,0.7541505312721569,G1,0.6,0.11106172565554079,0.3221748040618997,0.198672407040549,[0.44469137 0.4442469  0.11106173],[0.49197028 0.18585492 0.3221748 ],[0.52413767 0.27718993 0.19867241],0.04442469026221629
IoU Similarity: x0,G1,0.8,0.8222123451311081,G1,0.8,0.8228020365222498,G1,0.8,0.8164859011493967,G1,0.8,0.44469137172229606,0.5515819479154856,0.4715737780886451,[0.44469137 0.4442469  0.11106173],[0.55158195 0.35389837 0.09451968],[0.47157378 0.42829094 0.10013529],G1,0.9,0.8222123451311081,G1,0.9,0.8438817238472878,G1,0.9,0.8401463987676788,G2,1.0,0.44424690262216304,0.5603328354452991,0.5990635552139906,[0.44469137 0.4442469  0.11106173],[0.36023274 0.56033284 0.07943442],[0.32081329 0.59906356 0.08012316],G1,0.6,0.8222123451311081,G1,0.6,0.7980050199355899,G1,0.6,0.8044586161551963,G1,0.6,0.11106172565554079,0.16623796006798042,0.20711565525730408,[0.44469137 0.4442469  0.11106173],[0.45669996 0.37706208 0.16623796],[0.39860283 0.39428151 0.20711566],0.0
IoU Similarity: x1,G1,0.8,0.8222123451311081,G1,0.8,0.8205769718845528,G1,0.8,0.817498003887739,G1,0.8,0.44469137172229606,0.5418288727125525,0.4855757028861795,[0.44469137 0.4442469  0.11106173],[0.54182887 0.3637741  0.09439703],[0.4855757  0.41153944 0.10288486],G1,0.9,0.8222123451311081,G1,0.9,0.8449764064885654,G1,0.9,0.8389196551197183,G2,1.0,0.44424690262216304,0.5498154262065927,0.6068845040465684,[0.44469137 0.4442469  0.11106173],[0.36987514 0.54981543 0.08030944],[0.31455528 0.6068845  0.07856022],G1,0.6,0.8222123451311081,G1,0.6,0.8050523727534348,G1,0.6,0.8054983803290814,G1,0.6,0.11106172565554079,0.16312820609188064,0.17612952130153028,[0.44469137 0.4442469  0.11106173],[0.45563158 0.38124022 0.16312821],[0.42108771 0.40278277 0.17612952],0.0
IoU Similarity: x2,G1,0.8,0.8222123451311081,G1,0.8,0.8155557648550325,G1,0.8,0.8205732233902396,G1,0.8,0.44469137172229606,0.5346447308846868,0.5638895342280843,[0.44469137 0.4442469  0.11106173],[0.53464473 0.37881426 0.08654101],[0.56388953 0.34259286 0.09351761],G1,0.9,0.8222123451311081,G1,0.9,0.8436343894811821,G1,0.9,0.8372475217965981,G2,1.0,0.44424690262216304,0.5367705084810414,0.5972964773880441,[0.44469137 0.4442469  0.11106173],[0.38108185 0.53677051 0.08214765],[0.32222723 0.59729648 0.08047629],G1,0.6,0.8222123451311081,G1,0.6,0.7961116649917888,G1,0.6,0.8074234138968445,G1,0.6,0.11106172565554079,0.16546167359906747,0.20026930707197735,[0.44469137 0.4442469  0.11106173],[0.42938084 0.40515749 0.16546167],[0.43807543 0.36165526 0.20026931],0.0
